Date,Close,Volume,Open,High,Low
2018-11-30,231.28,2763971,231.69,233.39,229.7
2018-12-03,232.08,2479819,230.72,232.2,228.21
2018-12-04,226.35,3387916,232.11,233.3,225.56
2018-12-06,233.2,3937030,227.94,233.86,226.6
2018-12-07,224.86,2860656,233.15,233.81,223.03
2018-12-10,222.66,2569110,224.54,225.2,219.11
2018-12-11,226.5,2302906,225.12,227.25,224
2018-12-12,227.8,2889643,228.35,230.45,227.07
2018-12-13,226.51,2114926,228.84,229.62,225.48
2018-12-14,207.06,8812463,218,219,205.51
2018-12-17,202.23,4734486,206.68,208,200.66
2018-12-18,202.99,3154987,203.09,204.67,201.57
2018-12-19,201.41,3286206,203.5,207,199.86
2018-12-20,197.13,4183319,200.33,200.7,193.68
2018-12-21,194.52,5020471,197.16,200.7,194.32
2018-12-24,189.99,2031705,193.9,195.33,189.8
2018-12-26,198.63,3264954,190.82,198.78,189.51
2018-12-27,201.08,2649989,196.96,201.13,193.96
2018-12-28,202.04,2037734,201.82,204.95,199.59
2018-12-31,203.71,1729350,203.38,204.39,201.38
2019-01-02,204.76,2137877,200.5,205.1,199.85
2019-01-03,200.42,2764143,203.7,205.94,200.04
2019-01-04,206.24,2746917,203.08,207.93,201.45
2019-01-07,207,2225902,205.52,209.12,203.54
2019-01-08,208.55,2332085,208.65,209.08,204.18
2019-01-09,209.9,1856960,209.15,211.22,207.92
2019-01-10,210.64,2304542,208.15,210.9,206
2019-01-11,210.51,1861136,210.04,211.25,209.31
2019-01-14,209,1502391,209.47,210.65,208.16
2019-01-15,211.03,1553619,210.04,211.34,209.08
2019-01-16,210.18,1437323,211.46,211.46,209.5
2019-01-17,211.46,1450224,209.87,211.65,209.65
2019-01-18,213.59,2114732,212.56,214.16,211.77
2019-01-22,212.4,2972592,213,215.56,210.8
2019-01-23,212.09,2006086,213,214.85,210
2019-01-24,210.31,1907322,212.39,212.39,208.9
2019-01-25,209.07,2252214,212.03,212.32,208.74
2019-01-28,210.77,1510285,208.68,210.79,207.31
2019-01-29,210.31,1554193,210.32,210.54,208.57
2019-01-30,211.35,1573611,210.48,212.17,209.32
2019-01-31,214.63,4335636,211.14,214.88,209.72
2019-02-01,210.27,3453723,214,215,209.37
2019-02-04,211.18,1625113,210.7,211.19,207.9
2019-02-05,211.61,2069061,211.49,212.52,209.64
2019-02-06,211.6,1614179,212.26,212.26,210.48
2019-02-07,209.05,2525700,210.07,210.1,206.27
2019-02-08,207.75,1960355,207.83,208.49,205.75
2019-02-11,208.72,2368924,208.65,208.92,206.76
2019-02-12,211.9,2091178,210.06,212.75,209.26
2019-02-13,212.8,1697384,212.23,213.51,211.3
2019-02-14,213.84,1411028,212,214.55,211.14
2019-02-15,216.47,2635397,215.15,217.25,214.04
2019-02-19,218.12,1937315,216.67,219.6,216.51
2019-02-20,217.11,1785531,218.23,219.07,215.06
2019-02-21,215.23,1614651,216.6,216.72,214.33
2019-02-22,216.29,1542488,215.17,216.59,214.25
2019-02-25,217.05,1783734,217.37,219.09,216.55
2019-02-26,217.61,1865173,216.89,218.91,216.13
2019-02-27,218.05,1454400,216.51,218.86,216.45
2019-02-28,218.74,2044248,218.49,219.69,217.52
2019-03-01,219.44,2178197,219.76,220.57,215.77
2019-03-04,218.41,2379579,220.43,221.08,215.87
2019-03-05,219.82,2133649,218.91,221.61,218.9
2019-03-06,219.23,1957506,220.5,221.91,218.23
2019-03-07,216.79,3202234,218.13,219.39,216.22
2019-03-08,227.82,6778966,225.48,228.7,223.77
2019-03-11,229.69,3703638,227.53,229.91,227.06
2019-03-12,232.96,2647029,230.32,233.4,229.9
2019-03-13,236.38,2357031,234.25,237.45,232.95
2019-03-14,233.84,2129626,236.13,236.38,233.28
2019-03-15,233.6,5072160,234.17,235.65,233.18
2019-03-18,236.59,1688237,233.58,236.68,233.49
2019-03-19,237.05,1804913,237.52,238.05,236.29
2019-03-20,236.98,1383666,237.03,238.49,235.78
2019-03-21,239.54,1615924,236.68,239.85,236.55
2019-03-22,237.56,1803489,239.75,240.34,236.9
2019-03-25,236.97,1336649,236.93,238.08,235.79
2019-03-26,239.07,1157616,238,240.25,237.36
2019-03-27,239.41,1319803,238.71,240.21,238.16
2019-03-28,241.22,1297941,239.98,241.95,239.58
2019-03-29,242.14,1940059,241.66,242.44,240.77
2019-04-01,244.19,1541311,243.07,244.41,242.58
2019-04-02,240.5,1568364,244,244.19,240.31
2019-04-03,242.48,1663630,241.69,243.55,241.02
2019-04-04,244.4,1319734,242.17,244.76,241.25
