Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,15767.019531,15767.019531,15431.900391,15474.790039,15474.790039,4280820000
2022-12-06,15474.790039,15499.000000,15240.860352,15328.459961,15328.459961,4368380000
2022-12-07,15328.440430,15401.620117,15285.059570,15311.790039,15311.790039,4118050000
2022-12-08,15311.790039,15452.759766,15311.790039,15399.940430,15399.940430,4006900000
2022-12-09,15399.940430,15439.219727,15287.759766,15291.049805,15291.049805,3888260000
2022-12-12,15291.049805,15468.980469,15280.929688,15468.669922,15468.669922,3904130000
2022-12-13,15468.669922,15819.150391,15468.669922,15562.540039,15562.540039,5079360000
2022-12-14,15562.540039,15667.780273,15407.589844,15494.980469,15494.980469,4472340000
2022-12-15,15494.980469,15494.980469,15120.969727,15182.280273,15182.280273,4493900000
2022-12-16,15182.280273,15182.280273,14920.179688,15018.169922,15018.169922,7493660000
2022-12-19,15018.169922,15066.320313,14866.799805,14938.030273,14938.030273,3969610000
2022-12-20,14938.030273,15056.580078,14922.669922,15000.620117,15000.620117,3985370000
2022-12-21,15000.620117,15250.910156,15000.620117,15219.549805,15219.549805,3775200000
2022-12-22,15219.549805,15219.549805,14871.160156,15081.530273,15081.530273,3956950000
2022-12-23,15081.530273,15188.570313,15025.730469,15188.450195,15188.450195,2819280000
2022-12-27,15188.450195,15255.349609,15142.410156,15218.259766,15218.259766,3030300000
2022-12-28,15218.259766,15268.700195,15033.469727,15037.320313,15037.320313,3083520000
2022-12-29,15037.320313,15269.059570,15037.320313,15241.209961,15241.209961,3003680000
2022-12-30,15241.209961,15241.209961,15069.410156,15184.309570,15184.309570,2979870000
2023-01-03,15184.309570,15327.530273,15053.169922,15154.450195,15154.450195,3959140000
2023-01-04,15154.450195,15407.599609,15154.450195,15350.299805,15350.299805,4414080000
2023-01-05,15350.299805,15350.299805,15168.690430,15225.400391,15225.400391,3893450000
2023-01-06,15225.400391,15568.900391,15225.400391,15539.740234,15539.740234,3923560000
2023-01-09,15539.740234,15703.019531,15507.980469,15514.440430,15514.440430,4311770000
2023-01-10,15514.440430,15614.620117,15464.190430,15608.169922,15608.169922,3851030000
2023-01-11,15608.169922,15750.480469,15608.169922,15749.089844,15749.089844,4303360000
2023-01-12,15749.089844,15911.000000,15692.509766,15859.549805,15859.549805,4440260000
2023-01-13,15859.549805,15940.610352,15749.910156,15918.370117,15918.370117,3939700000
2023-01-17,15918.370117,15973.290039,15871.250000,15883.559570,15883.559570,4235560000
2023-01-18,15883.559570,15965.250000,15644.450195,15649.129883,15649.129883,4298710000
2023-01-19,15649.129883,15649.129883,15504.070313,15569.629883,15569.629883,3991500000
2023-01-20,15569.629883,15777.549805,15538.209961,15777.549805,15777.549805,4013360000
2023-01-23,15777.549805,15940.900391,15756.780273,15880.089844,15880.089844,3945210000
2023-01-24,15880.089844,15892.660156,15752.490234,15868.219727,15868.219727,3320430000
2023-01-25,15868.219727,15893.309570,15681.799805,15889.269531,15889.269531,3724020000
2023-01-26,15889.269531,15988.269531,15840.839844,15985.870117,15985.870117,3809590000
2023-01-27,15985.870117,16032.120117,15901.169922,15962.580078,15962.580078,3907760000
2023-01-30,15962.580078,15974.400391,15813.230469,15818.900391,15818.900391,3802000000
2023-01-31,15818.900391,16036.990234,15809.660156,16036.389648,16036.389648,4679320000
2023-02-01,16036.389648,16222.200195,15871.070313,16121.250000,16121.250000,4856930000
2023-02-02,16121.250000,16178.559570,16035.540039,16122.580078,16122.580078,5624360000
2023-02-03,16122.580078,16122.580078,15953.480469,15999.400391,15999.400391,4694510000
2023-02-06,15999.400391,15999.400391,15814.490234,15895.360352,15895.360352,4114240000
2023-02-07,15895.360352,16056.389648,15800.639648,16021.620117,16021.620117,4355860000
2023-02-08,16021.620117,16026.549805,15916.709961,15934.719727,15934.719727,4029820000
2023-02-09,15934.719727,16077.049805,15796.480469,15828.599609,15828.599609,4270200000
2023-02-10,15828.599609,15922.950195,15787.250000,15910.690430,15910.690430,3891520000
2023-02-13,15910.690430,16052.849609,15908.870117,16052.250000,16052.250000,3448620000
2023-02-14,16052.250000,16131.750000,15917.980469,16025.110352,16025.110352,3929200000
2023-02-15,16025.110352,16025.110352,15875.349609,16016.089844,16016.089844,4075980000
2023-02-16,16016.089844,16016.089844,15829.690430,15873.780273,15873.780273,4143660000
2023-02-17,15873.780273,15873.780273,15732.769531,15840.160156,15840.160156,4045480000
2023-02-21,15840.160156,15840.160156,15551.910156,15572.519531,15572.519531,4121590000
2023-02-22,15572.519531,15623.200195,15490.179688,15530.830078,15530.830078,4079320000
2023-02-23,15530.830078,15654.950195,15446.080078,15584.929688,15584.929688,3952940000
2023-02-24,15584.929688,15584.929688,15347.280273,15464.459961,15464.459961,3877700000
2023-02-27,15464.459961,15623.250000,15462.799805,15492.929688,15492.929688,3836950000
2023-02-28,15492.929688,15518.780273,15427.209961,15428.969727,15428.969727,5043400000
2023-03-01,15428.969727,15477.919922,15378.120117,15436.299805,15436.299805,4249480000
2023-03-02,15436.299805,15555.089844,15342.709961,15524.519531,15524.519531,4244900000
2023-03-03,15524.519531,15732.719727,15524.519531,15721.059570,15721.059570,4084730000
2023-03-06,15721.059570,15772.650391,15672.110352,15694.339844,15694.339844,4000870000
2023-03-07,15694.339844,15694.339844,15413.540039,15439.019531,15439.019531,3922500000
2023-03-08,15439.019531,15496.919922,15367.459961,15440.639648,15440.639648,3535570000
2023-03-09,15440.639648,15497.389648,15112.919922,15140.790039,15140.790039,4445260000
2023-03-10,15140.790039,15164.129883,14830.910156,14894.179688,14894.179688,5518190000
2023-03-13,14894.179688,14949.349609,14645.549805,14764.370117,14764.370117,6558020000
2023-03-14,14764.370117,15044.650391,14764.370117,14944.740234,14944.740234,5665870000
2023-03-15,14944.740234,14944.740234,14471.080078,14662.549805,14662.549805,6594010000
2023-03-16,14662.549805,14859.330078,14506.599609,14830.980469,14830.980469,5695790000
2023-03-17,14830.990234,14830.990234,14560.370117,14599.049805,14599.049805,9354280000
2023-03-20,14599.049805,14817.209961,14599.049805,14777.700195,14777.700195,5347140000
2023-03-21,14777.700195,15010.580078,14777.700195,14985.950195,14985.950195,4920240000
2023-03-22,14985.950195,15076.129883,14740.190430,14741.080078,14741.080078,4533010000
2023-03-23,14741.080078,14937.900391,14598.320313,14693.019531,14693.019531,4991600000
2023-03-24,14693.019531,14770.790039,14514.570313,14758.570313,14758.570313,4583970000
2023-03-27,14758.570313,14955.719727,14758.570313,14894.849609,14894.849609,4233540000
2023-03-28,14894.849609,14986.990234,14892.200195,14949.349609,14949.349609,4014600000
2023-03-29,14949.349609,15128.769531,14949.349609,15123.959961,15123.959961,4145250000
2023-03-30,15123.959961,15254.759766,15123.959961,15200.589844,15200.589844,3930860000
2023-03-31,15200.589844,15377.019531,15200.589844,15374.910156,15374.910156,4525120000
2023-04-03,15374.910156,15514.919922,15374.910156,15487.759766,15487.759766,4234700000
2023-04-04,15487.750000,15510.280273,15307.950195,15374.110352,15374.110352,4227800000
2023-04-05,15374.110352,15419.650391,15304.059570,15368.259766,15368.259766,3968020000
2023-04-06,15368.259766,15400.759766,15323.179688,15379.129883,15379.129883,3486690000
2023-04-10,15379.129883,15427.299805,15297.780273,15427.179688,15427.179688,3423650000
2023-04-11,15427.179688,15567.280273,15427.179688,15520.919922,15520.919922,3665830000
2023-04-12,15520.919922,15668.360352,15485.500000,15500.929688,15500.929688,3633120000
2023-04-13,15500.929688,15650.839844,15498.940430,15630.889648,15630.889648,3596590000
2023-04-14,15630.889648,15707.809570,15531.129883,15601.780273,15601.780273,3575690000
2023-04-17,15601.780273,15668.959961,15573.360352,15668.339844,15668.339844,3611180000
2023-04-18,15668.339844,15710.469727,15634.459961,15684.959961,15684.959961,3536640000
2023-04-19,15684.959961,15684.959961,15594.219727,15653.620117,15653.620117,3572560000
2023-04-20,15653.620117,15653.620117,15533.330078,15582.940430,15582.940430,3772080000
2023-04-21,15582.940430,15597.450195,15512.620117,15578.929688,15578.929688,3611750000
2023-04-24,15578.929688,15623.040039,15557.730469,15606.709961,15606.709961,3290940000
2023-04-25,15606.709961,15606.709961,15361.570313,15363.530273,15363.530273,3978640000
2023-04-26,15363.530273,15363.530273,15201.099609,15228.580078,15228.580078,3837030000
2023-04-27,15228.580078,15443.059570,15228.580078,15431.639648,15431.639648,3750550000
2023-04-28,15431.639648,15560.009766,15371.450195,15545.879883,15545.879883,4087800000
2023-05-01,15545.879883,15622.559570,15525.900391,15535.889648,15535.889648,3321370000
2023-05-02,15535.889648,15535.889648,15189.250000,15314.889648,15314.889648,4486130000
2023-05-03,15314.570313,15421.469727,15227.660156,15233.849609,15233.849609,4246510000
2023-05-04,15233.849609,15233.849609,15055.429688,15117.669922,15117.669922,4920090000
2023-05-05,15117.669922,15419.570313,15117.669922,15380.870117,15380.870117,4186270000
2023-05-08,15380.870117,15448.709961,15353.679688,15391.269531,15391.269531,3641640000
2023-05-09,15391.269531,15393.160156,15297.089844,15352.809570,15352.809570,3810140000
2023-05-10,15352.809570,15441.990234,15228.419922,15349.169922,15349.169922,4057160000
2023-05-11,15349.169922,15349.169922,15176.639648,15263.070313,15263.070313,3752900000
2023-05-12,15263.070313,15319.639648,15167.780273,15246.360352,15246.360352,3533740000
2023-05-15,15246.360352,15343.639648,15228.799805,15322.559570,15322.559570,3562170000
2023-05-16,15322.559570,15322.559570,15128.620117,15129.250000,15129.250000,3654200000
2023-05-17,15129.250000,15338.469727,15129.250000,15313.919922,15313.919922,4039080000
2023-05-18,15313.919922,15361.740234,15214.000000,15345.429688,15345.429688,3980500000
2023-05-19,15345.429688,15421.799805,15283.700195,15324.320313,15324.320313,4041900000
2023-05-22,15324.320313,15387.759766,15271.219727,15318.849609,15318.849609,3728520000
2023-05-23,15318.849609,15319.110352,15161.469727,15172.269531,15172.269531,4155320000
