Date, Open, High, Low, Close
2018-11-01,2717.58,2741.67,2708.85,2740.37
2018-11-02,2745.45,2756.55,2700.44,2723.06
2018-11-05,2726.37,2744.27,2717.94,2738.31
2018-11-06,2738.4,2756.82,2737.08,2755.45
2018-11-07,2774.13,2815.15,2774.13,2813.89
2018-11-08,2806.38,2814.75,2794.99,2806.83
2018-11-09,2794.1,2794.1,2764.24,2781.01
2018-11-12,2773.93,2775.99,2722,2726.22
2018-11-13,2730.05,2754.6,2714.98,2722.18
2018-11-14,2737.9,2746.8,2685.75,2701.58
2018-11-15,2693.52,2735.38,2670.75,2730.2
2018-11-16,2718.54,2746.75,2712.16,2736.27
2018-11-19,2730.74,2733.16,2681.09,2690.73
2018-11-20,2654.6,2669.44,2631.52,2641.89
2018-11-21,2657.74,2670.73,2649.82,2649.93
2018-11-23,2633.36,2647.55,2631.09,2632.56
2018-11-26,2649.97,2674.35,2649.97,2673.45
2018-11-27,2663.75,2682.53,2655.89,2682.17
2018-11-28,2691.45,2744,2684.38,2743.79
2018-11-29,2736.97,2753.75,2722.94,2737.76
2018-11-30,2737.76,2760.88,2732.76,2760.17
2018-12-03,2790.5,2800.18,2773.38,2790.37
2018-12-04,2782.43,2785.93,2697.18,2700.06
2018-12-06,2663.51,2696.15,2621.53,2695.95
2018-12-07,2691.26,2708.54,2623.14,2633.08
2018-12-10,2630.86,2647.51,2583.23,2637.72
2018-12-11,2664.44,2674.35,2621.3,2636.78
2018-12-12,2658.23,2685.44,2650.26,2651.07
2018-12-13,2658.7,2670.19,2637.27,2650.54
2018-12-14,2629.68,2635.07,2593.84,2599.95
2018-12-17,2590.75,2601.13,2530.54,2545.94
2018-12-18,2559.9,2573.99,2528.71,2546.16
2018-12-19,2547.05,2585.29,2488.96,2506.96
2018-12-20,2496.77,2509.63,2441.18,2467.42
2018-12-21,2465.38,2504.41,2408.55,2416.62
2018-12-24,2400.56,2410.34,2351.1,2351.1
2018-12-26,2363.12,2467.76,2346.58,2467.7
2018-12-27,2442.5,2489.1,2397.94,2488.83
2018-12-28,2498.77,2520.27,2472.89,2485.74
2018-12-31,2498.94,2509.24,2482.82,2506.85
2019-01-02,2476.96,2519.49,2467.47,2510.03
2019-01-03,2491.92,2493.14,2443.96,2447.89
2019-01-04,2474.33,2538.07,2474.33,2531.94
2019-01-07,2535.61,2566.16,2524.56,2549.69
2019-01-08,2568.11,2579.82,2547.56,2574.41
2019-01-09,2580,2595.32,2568.89,2584.96
2019-01-10,2573.51,2597.82,2562.02,2596.64
2019-01-11,2588.11,2596.27,2577.4,2596.26
2019-01-14,2580.31,2589.32,2570.41,2582.61
2019-01-15,2585.1,2613.08,2585.1,2610.3
2019-01-16,2614.75,2625.76,2612.68,2616.1
2019-01-17,2609.28,2645.06,2606.36,2635.96
2019-01-18,2651.27,2675.47,2647.58,2670.71
2019-01-22,2657.88,2657.88,2617.27,2632.9
2019-01-23,2643.48,2653.19,2612.86,2638.7
2019-01-24,2638.84,2647.2,2627.01,2642.33
2019-01-25,2657.44,2672.38,2657.33,2664.76
2019-01-28,2644.97,2644.97,2624.06,2643.85
2019-01-29,2644.89,2650.93,2631.05,2640
2019-01-30,2653.62,2690.44,2648.34,2681.05
2019-01-31,2685.49,2708.95,2678.65,2704.1
2019-02-01,2702.32,2716.66,2696.88,2706.53
2019-02-04,2706.49,2724.99,2698.75,2724.87
2019-02-05,2728.34,2738.98,2724.03,2737.7
2019-02-06,2735.05,2738.08,2724.15,2731.61
2019-02-07,2717.53,2719.32,2687.26,2706.05
2019-02-08,2692.36,2708.07,2681.83,2707.88
2019-02-11,2712.4,2718.05,2703.79,2709.8
2019-02-12,2722.61,2748.19,2722.61,2744.73
2019-02-13,2750.3,2761.85,2748.63,2753.03
2019-02-14,2743.5,2757.9,2731.23,2745.73
2019-02-15,2760.24,2775.66,2760.24,2775.6
2019-02-19,2769.28,2787.33,2767.29,2779.76
2019-02-20,2779.05,2789.88,2774.06,2784.7
2019-02-21,2780.24,2781.58,2764.55,2774.88
2019-02-22,2780.67,2794.2,2779.11,2792.67
2019-02-25,2804.35,2813.49,2794.99,2796.11
2019-02-26,2792.36,2803.12,2789.47,2793.9
2019-02-27,2787.5,2795.76,2775.13,2792.38
2019-02-28,2788.11,2793.73,2782.51,2784.49
2019-03-01,2798.22,2808.02,2787.38,2803.69
2019-03-04,2814.37,2816.88,2767.66,2792.81
2019-03-05,2794.41,2796.44,2782.97,2789.65
2019-03-06,2790.27,2790.27,2768.69,2771.45
2019-03-07,2766.53,2767.25,2739.09,2748.93
2019-03-08,2730.79,2744.13,2722.27,2743.07
2019-03-11,2747.61,2784,2747.61,2783.3
2019-03-12,2787.34,2798.32,2786.73,2791.52
2019-03-13,2799.78,2821.24,2799.78,2810.92
2019-03-14,2810.38,2815,2803.46,2808.48
2019-03-15,2810.79,2830.73,2810.79,2822.48
2019-03-18,2822.61,2835.41,2821.99,2832.94
2019-03-19,2840.76,2852.42,2823.27,2832.57
2019-03-20,2831.34,2843.54,2812.43,2824.23
2019-03-21,2819.72,2860.31,2817.38,2854.88
2019-03-22,2844.52,2846.16,2800.47,2800.71
2019-03-25,2796.01,2809.79,2785.02,2798.36
2019-03-26,2812.66,2829.87,2803.99,2818.46
2019-03-27,2819.72,2825.56,2787.72,2805.37
2019-03-28,2809.4,2819.71,2798.77,2815.44
2019-03-29,2828.27,2836.03,2819.23,2834.4
2019-04-01,2848.63,2869.4,2848.63,2867.19
2019-04-02,2868.24,2872.9,2858.75,2867.24
2019-04-03,2876.09,2885.25,2865.17,2873.4
2019-04-04,2873.99,2881.28,2867.14,2879.39
2019-04-05,2884.16,2893.24,2882.99,2892.74
2019-04-08,2888.46,2895.95,2880.78,2895.77
2019-04-09,2886.58,2886.88,2873.33,2878.2
2019-04-10,2881.37,2889.71,2879.13,2888.21
2019-04-11,2891.92,2893.42,2881.99,2888.32
2019-04-12,2900.86,2910.54,2898.37,2907.41
